,Nombre,Latitud,Longitud
0,Monasterio de Santa Catalina ,-16.3952829,-71.53679079999999
1,Plaza de Armas de Arequipa,-16.39849621136111, -71.53682895234468
2,Basílica Catedral de Arequipa y Museo,-16.3981179,-71.5366937
3,Museo Santuarios Andinos de la Universidad Católica Santa María,-16.3996223,-71.5375081
4,Iglesia y Claustros de la Compañía,-16.4001903,-71.53632429999999
5,Museo de Arte Virreinal de Santa Teresa,-16.3966123,-71.531111
6,Convento - Museo La Recoleta,-16.3938973,-71.5414929
7,Casa Goyeneche,-16.4001371,-71.5384851
8,Casa del Moral,-16.3969263,-71.5378061
9,Barrio de San Lázaro,-16.3931529,-71.5341894
10,Museo Arqueológico San Agustín,-16.400541096612887, -71.53692054549417
11,Museo de Arte Contemporáneo de Arequipa,-16.3931884,-71.5348767
12,Museo Histórico Municipal Guillermo Zegarra Meneses,-16.3947946,-71.53553629999999
13,Baños termales La Calera,-15.614706,-71.5868605
14,Iglesia de la Inmaculada Concepción (Yanque),-15.6502753,-71.6586938
15,Iglesia de Santa Ana (Maca),34.2206873,-118.4218194
16,Mirador de la Cruz del Cóndor,-15.6112885,-71.9060969
17,Cañón del Colca,-15.6093293,-72.0896229
18,Complejo Arqueológico de Uyo Uyo,-15.6397121,-71.6701319
19,Distrito de Sibayo,-15.3042718,-71.59613279999999
20,Reserva Nacional de Salinas y Aguada Blanca,-16.1558206,-71.2874209
21,Catarata de Sipia,-15.2419645,-72.957898
22,Mirador Bañadero del Cóndor (Toro),2.3734249,-76.39296829999999
23,Bosque de Cactus de Judío Pampa (Quechualla),-15.323611,-73.059444
24,Mirador de Locrahuanca (Tomepampa),-15.2115647,-72.89317299999999
25,Aguas termales de Lucha (Alca),38.8928441,-77.0403808
26,Baños termales de Luicho (Huaynacotas),-15.1435171,-72.7838428
27,Ruinas de Maukallacta (Puyca),-15.0554022,-72.6943517
28,Mirador y catarata de Uskune (Pampamarca),-15.1285348,-72.9044552
29,Bosque de piedras Huito (Pampamarca),-15.1209729,-72.9070678
30,Valle de los Volcanes,-15.5378596,-72.3015121
31,Laguna Mamacocha (Ayo),-15.6780556,-72.2452778
32,Baños termales de Huancarama,-15.2207624,-72.31742299999999
33,Cataratas de Panahua,-15.361032116525418, -72.29161802038233
34,Mirador de Yanahuara,-16.3874759,-71.5417274
35,Mirador de Sachaca,-16.4262814,-71.5674416
36,Mirador de Carmen Alto,-16.3698644,-71.5365599
37,Molino de Sabandía,-16.4567451,-71.49957979999999
38,Mansión del Fundador,-16.4642351,-71.5573514
39,Baños Termales de Yura,-16.2458375,-71.6954312
40,Cuevas de Arte Rupestre de Sumbay,-15.5949138,-71.4843755
41,Petroglifos de Toro Muerto,-16.2251959,-72.499777
42,Parque Jurásico de Querullpa,-16.1612734,-72.49016300000001
43,Río Majes,-15.6320052,-71.7796469
44,Zona arqueológica de Puerto Inka,-16.2222877,-73.6771381
45,Zona arqueológica de la Quebrada de la Waca,-15.840419950475292, -74.3086693280321
46,Caleta de Quilca,-16.7145773,-72.43543079999999
47,Parque Acuático de Camaná,-16.6568892,-72.6626057
48,El Mirador del Inca,-16.580895458842875, -72.73413755027194
49,Lagunas de Pucchún,-16.600173956500914, -72.77220404093003
50,Caleta del Inca,-16.5140995,-72.9765056
51,Museo de Chiribaya,-17.6230741,-71.2687674
52,Santuario Nacional Lagunas de Mejía,-17.142349403016077, -71.8600183624906
53,Ruta del sillar,-16.3597362,-71.6065002
54,Museo de la Catedral,-16.39810470382719, -71.53637047300623
55,Quebrada de La Vaca,-15.795392805700128, -74.36580055566893
