,Nombre,Latitud,Longitud
0,Monasterio de Santa Catalina ,-16.3952829,-71.53679079999999
1,Plaza de Armas de Arequipa,-16.39849621136111, -71.53682895234468
2,Basílica Catedral de Arequipa y Museo,-16.3981179,-71.5366937
3,Museo Santuarios Andinos de la Universidad Católica Santa María,-16.3996223,-71.5375081
4,Iglesia y Claustros de la Compañía,-16.4001903,-71.53632429999999
5,Museo de Arte Virreinal de Santa Teresa,-16.3966123,-71.531111
6,Convento - Museo La Recoleta,-16.3938973,-71.5414929
7,Casa Goyeneche,-16.4001371,-71.5384851
8,Casa del Moral,-16.3969263,-71.5378061
9,Barrio de San Lázaro,-16.3931529,-71.5341894
10,Museo Arqueológico San Agustín,-16.400541096612887, -71.53692054549417
